name,draft_year,draft_pick,y1_pts,y1_reb,y1_ast,y1_fg_pct,y1_fg3_pct,y1_ft_pct,y1_min,y1_tov,y2_pts,y2_reb,y2_ast,y2_fg_pct,y2_fg3_pct,y2_ft_pct,y2_min,y2_tov,y5_pts,y5_reb,y5_ast,y5_fg_pct,y5_fg3_pct,y5_ft_pct,y5_min,y5_tov
CJ Elleby,2020,46,2.3,1.1,0.3,0.379,0.206,0.733,6.4,0.2,5.8,3.9,1.5,0.393,0.294,0.714,20.2,1.0,,,,,,,,
CJ McCollum,2013,10,5.3,1.3,0.7,0.416,0.375,0.676,12.5,0.9,6.8,1.5,1.0,0.436,0.396,0.699,15.7,0.8,21.4,4.0,3.4,0.443,0.397,0.836,36.1,1.9
Cade Cunningham,2021,1,17.4,5.5,5.6,0.416,0.314,0.845,32.6,3.7,19.9,6.2,6.0,0.415,0.279,0.837,33.3,3.3,25.3,5.6,9.6,0.462,0.33,0.808,34.9,3.7
Caleb Houstan,2022,32,3.8,1.9,0.6,0.363,0.338,0.833,15.9,0.4,4.3,1.4,0.5,0.388,0.373,0.808,13.8,0.3,,,,,,,,
Caleb Swanigan,2017,26,2.3,2.0,0.5,0.4,0.125,0.667,7.0,0.7,1.9,2.9,0.4,0.318,0.2,0.857,8.1,0.9,,,,,,,,
Cam Reddish,2019,10,10.5,3.7,1.5,0.384,0.332,0.802,26.7,1.7,11.2,4.0,1.3,0.365,0.262,0.817,28.8,1.3,5.4,2.1,1.0,0.389,0.336,0.759,20.5,0.6
Cameron Bairstow,2014,49,0.6,0.4,0.1,0.214,0.0,0.8,3.6,0.2,1.9,1.6,0.3,0.325,0.2,0.875,5.7,0.2,,,,,,,,
Cameron Johnson,2019,11,8.8,3.3,1.2,0.435,0.39,0.807,22.0,0.6,9.6,3.3,1.4,0.42,0.349,0.847,24.0,0.7,13.4,4.3,2.4,0.446,0.391,0.789,27.6,1.0
Cameron Payne,2015,14,5.0,1.5,1.9,0.41,0.324,0.792,12.2,0.8,5.3,1.6,2.0,0.331,0.308,1.0,16.0,0.8,10.9,3.9,3.0,0.485,0.517,0.857,22.9,1.4
Caris LeVert,2016,20,8.2,3.3,1.9,0.45,0.321,0.72,21.7,1.0,12.1,3.7,4.2,0.435,0.347,0.711,26.3,2.2,18.5,4.3,6.0,0.435,0.349,0.765,27.8,2.2
Carsen Edwards,2019,33,3.3,1.3,0.6,0.328,0.316,0.684,9.5,0.4,4.0,0.8,0.5,0.423,0.286,0.846,8.9,0.2,,,,,,,,
Cassius Stanley,2020,54,1.5,0.8,0.0,0.302,0.231,0.778,3.9,0.0,5.8,2.1,0.4,0.413,0.235,1.0,17.2,0.7,,,,,,,,
Cassius Winston,2020,53,1.9,0.4,0.5,0.424,0.471,0.833,4.5,0.2,2.0,0.1,1.0,0.364,0.333,1.0,5.6,0.4,,,,,,,,
Chandler Hutchison,2018,22,5.2,4.2,0.8,0.459,0.28,0.605,20.3,0.6,7.8,3.9,0.9,0.457,0.316,0.59,18.8,1.0,,,,,,,,
Charles Bassey,2021,53,3.0,2.7,0.3,0.638,0.0,0.75,7.3,0.3,5.7,5.5,1.4,0.644,0.375,0.595,14.5,1.2,3.5,7.5,1.0,0.375,0.0,0.333,15.5,0.5
Cheick Diallo,2016,33,5.1,4.3,0.2,0.474,0.0,0.714,11.7,0.4,4.9,4.1,0.4,0.58,0.0,0.758,11.2,0.5,,,,,,,,
Chimezie Metu,2018,49,1.8,1.2,0.4,0.328,0.0,0.765,5.0,0.5,3.2,1.8,0.6,0.571,0.0,0.769,5.8,0.6,4.9,3.0,0.6,0.589,0.237,0.74,10.4,0.5
Chinanu Onuaku,2016,37,2.8,2.0,0.6,0.714,0.0,1.0,10.4,0.8,4.0,4.0,1.0,0.4,0.0,0.0,22.0,3.0,,,,,,,,
Chris Duarte,2021,13,13.1,4.1,2.1,0.432,0.369,0.804,28.0,1.6,7.9,2.5,1.4,0.369,0.316,0.847,19.5,0.9,,,,,,,,
Chris McCullough,2015,29,4.7,2.8,0.4,0.404,0.382,0.478,15.1,0.6,2.5,1.2,0.1,0.516,0.167,0.667,5.1,0.1,,,,,,,,
Christian Braun,2022,21,4.7,2.4,0.8,0.495,0.354,0.625,15.5,0.5,7.3,3.7,1.6,0.46,0.384,0.694,20.2,0.7,,,,,,,,
Chuma Okeke,2019,16,,,,,,,,,7.8,4.0,2.2,0.417,0.348,0.75,25.2,0.8,2.3,1.7,0.4,0.357,0.28,0.571,9.2,0.3
Cleanthony Early,2014,34,5.4,2.5,0.9,0.355,0.262,0.75,16.6,1.0,1.8,1.5,0.4,0.3,0.267,0.75,9.1,0.5,,,,,,,,
Clint Capela,2014,25,2.7,3.0,0.2,0.483,0.0,0.174,7.5,0.4,7.0,6.4,0.6,0.582,0.0,0.379,19.1,0.8,16.6,12.7,1.4,0.648,0.0,0.636,33.6,1.4
Coby White,2019,7,13.2,3.5,2.7,0.394,0.354,0.791,25.8,1.7,15.1,4.1,4.8,0.416,0.359,0.901,31.2,2.3,19.1,4.5,5.1,0.447,0.376,0.838,36.5,2.1
Cody Martin,2019,36,5.0,3.3,2.0,0.43,0.234,0.646,18.8,0.9,4.0,3.1,1.7,0.441,0.276,0.581,16.3,0.8,7.5,3.9,3.7,0.381,0.314,0.606,26.9,1.6
Cody Zeller,2013,4,6.0,4.3,1.1,0.426,0.0,0.73,17.3,1.1,7.6,5.8,1.6,0.461,1.0,0.774,24.0,1.0,7.1,5.4,0.9,0.545,0.667,0.718,19.0,1.0
Cole Anthony,2020,15,12.9,4.7,4.1,0.397,0.337,0.832,27.1,2.3,16.3,5.4,5.7,0.391,0.338,0.854,31.7,2.6,9.4,3.0,2.9,0.424,0.353,0.823,18.4,1.5
Collin Sexton,2018,8,16.7,2.9,3.0,0.43,0.402,0.839,31.8,2.3,20.8,3.1,3.0,0.472,0.38,0.846,33.0,2.4,14.3,2.2,2.9,0.506,0.393,0.819,23.9,1.8
Corey Kispert,2021,15,8.2,2.7,1.1,0.455,0.35,0.871,23.4,0.6,11.1,2.8,1.2,0.497,0.424,0.852,28.3,0.7,9.2,2.3,1.7,0.496,0.395,0.765,19.5,0.7
Cory Jefferson,2014,60,3.7,2.9,0.3,0.449,0.133,0.574,10.6,0.4,2.8,2.0,0.0,0.409,0.0,0.667,6.3,0.0,,,,,,,,
D'Angelo Russell,2015,2,13.2,3.4,3.3,0.41,0.351,0.737,28.2,2.5,15.6,3.5,4.8,0.405,0.352,0.782,28.7,2.8,23.6,3.7,6.2,0.43,0.374,0.785,32.1,3.1
D.J. Wilson,2017,17,1.0,0.5,0.1,0.563,0.4,0.5,3.2,0.2,5.8,4.6,1.1,0.414,0.362,0.553,18.4,0.7,7.5,4.0,1.3,0.733,0.0,0.8,13.5,0.5
Dalano Banton,2021,46,3.2,1.9,1.5,0.411,0.255,0.591,10.9,0.8,4.6,1.5,1.2,0.423,0.294,0.708,9.0,0.6,3.0,0.5,1.0,0.75,0.0,0.0,5.0,0.5
Dalen Terry,2022,18,2.2,1.0,0.6,0.444,0.259,0.667,5.6,0.2,3.1,1.9,1.4,0.439,0.23,0.581,11.5,0.5,,,,,,,,
Damian Jones,2016,30,1.9,2.3,0.0,0.5,0.0,0.3,8.5,0.6,1.7,0.9,0.1,0.5,0.0,0.6,5.9,0.3,1.6,1.3,0.3,0.5,0.0,0.545,6.7,0.4
Damyean Dotson,2017,44,4.1,1.9,0.7,0.447,0.324,0.696,10.8,0.4,10.7,3.6,1.8,0.415,0.368,0.745,27.5,1.0,2.0,1.0,0.5,0.5,0.0,0.0,10.5,0.0
Daniel Gafford,2019,38,5.1,2.5,0.5,0.701,0.0,0.533,14.2,0.7,4.7,3.3,0.5,0.69,0.0,0.659,12.4,0.7,10.9,8.0,1.5,0.69,0.0,0.706,26.5,1.0
